status,company,instagram,website,lead_type,source_lodges,evidence_url,confidence,notes,contact_emails,contact_source_url,contact_notes,whatsapp_numbers,whatsapp_source_url,whatsapp_confidence,whatsapp_notes
instagram_seed,Big Time Birding Tours,@bigtimebirdingtours,https://www.instagram.com/bigtimebirdingtours/,Instagram-sourced birding operator candidate,Hacienda El Bosque,https://www.instagram.com/bigtimebirdingtours/,medium,Found from Hacienda El Bosque Instagram research; no separate public website/email found in web search.,,https://www.instagram.com/bigtimebirdingtours/,Manual Instagram follow-up needed; no public business email found.,,,,No public WhatsApp number found during this pass.
instagram_seed,Birding & Herping,@birding_and_herping,https://birdingandherping.com/,Colombia birding/herping operator,Hacienda El Bosque,https://birdingandherping.com/,high,Dedicated Colombian birding and herping operator found in Instagram/lodge pass.,info@birdingandherping.com,https://birdingandherping.com/contact,Public website contact email.,,,,No public WhatsApp number found during this pass.
instagram_seed,Adventures Colombia,@adventurescolombia,https://www.adventurescolombiatours.com/,Colombia adventure/birding operator,Hacienda El Bosque,https://www.adventurescolombiatours.com/,high,Colombia operator with a birding contact channel.,birding@adventurescolombiatours.com,https://www.adventurescolombiatours.com/,Public website email for birding inquiries.,,,,No public WhatsApp number found during this pass.
instagram_seed,Birds Colombia Experience,@birdscolombiaexperience,https://birdscolombia.com/,Colombia birding/media/tour operator,Hacienda El Bosque,https://birdscolombia.com/contact/,medium,Birds Colombia Experience/NikyMauro surfaced through Hacienda research; qualify tour volume before outreach.,info@birdscolombia.com,https://birdscolombia.com/contact/,Public Birds Colombia contact page email.,+573209567076; +573212701681,https://birdscolombia.com/contacto/,high,Explicit WhatsApp links on Birds Colombia website.
instagram_seed,Tanager Photo Tours,@tanagerphototours,https://www.tanagerphototours.com/,Colombia bird photography tour operator,Hacienda El Bosque,https://www.tanagerphototours.com/noticias,high,Bird photography tour operator for Colombia.,info@tanagerphototours.com,https://www.tanagerphototours.com/noticias,Public website email.,,,,No public WhatsApp number found during this pass.
instagram_seed,Keeping Nature Tours,@keepingnaturetours,https://keepingnaturetours.com/,Colombia wildlife photography tour operator,Hacienda El Bosque,https://keepingnaturetours.com/,high,Wildlife photography tours in Colombia; relevant lodge visitor/operator lead.,info@keepingnaturetours.com; mercadeo@keepingnaturetours.com,https://keepingnaturetours.com/,Public website/footer emails.,+573166646836,https://keepingnaturetours.com/,high,Explicit wa.me link on website.
instagram_seed,Bogota Birding & Colombia Wildlife Tours,@bogota_birding,https://bogotabirding.com/,Colombia birding/wildlife operator,Hacienda El Bosque,https://bogotabirding.com/es/,high,Dedicated Colombia birding and wildlife tour operator.,bogota.birding@gmail.com,https://bogotabirding.com/es/,Public website and travel directory contact email.,,,,No public WhatsApp number found during this pass.
instagram_seed,Oswaldo Nature Tours & Biology,@oswaldonature,https://bogotabirding.com/team2/,Guide/operator lead,Hacienda El Bosque,https://bogota-birding-and-birdwatching-tours.blogspot.com/p/contact-to-bogota-birding.html,medium,Oswaldo Cortes appears tied to Bogota Birding; keep as person-level lead for relationship mapping.,oswaldo.aves@gmail.com; bogota.birding@gmail.com,https://bogota-birding-and-birdwatching-tours.blogspot.com/p/contact-to-bogota-birding.html,Public Bogota Birding contact page lists Oswaldo personal contact and company email.,,,,No public WhatsApp number found during this pass.
instagram_seed,Coraves Birding & Nature Tours,@ferney_salgado_coraves_birding,https://www.coravesbirdingtours.com/,Colombia birding operator,Hacienda El Bosque,https://www.coravesbirdingtours.com/contact-us/,high,Coraves/Ferney Salgado birding operator lead from Hacienda research.,info@coravesbirdingtours.com,https://www.coravesbirdingtours.com/contact-us/,Public website contact email.,+573113797217,https://www.coravesbirdingtours.com/,high,Explicit WhatsApp link on website.
instagram_seed,Caracara Nature Tours Birding,@caracaranaturetoursbirding,https://caracaranaturetours.com/,Colombia birding/nature operator,Hacienda El Bosque,https://caracaranaturetours.com/,high,Dedicated nature/birding operator lead from Hacienda research.,caracaranaturetours@gmail.com,https://caracaranaturetours.com/,Public website email; omitted template/developer addresses found in page source.,+573003000082,https://caracaranaturetours.com/,high,Explicit wa.me link on website.
instagram_seed,Tropical Photo Tours,@tropicalphototours,https://tropicalphototours.com/,Bird photography tour operator,Hacienda El Bosque,https://tropicalphototours.com/contact-us/,high,Bird/wildlife photo tour operator; distinct from Tropical Birding.,info@tropicalphototours.com,https://tropicalphototours.com/contact-us/,Public website contact email.,,,,No public WhatsApp number found during this pass.
instagram_seed,Sword-billed Expeditions,@edisonbirder,https://swordbilledexpeditions.com/,Birding expedition operator,Hacienda El Bosque; Sword-billed Instagram spiral,https://swordbilledexpeditions.com/,high,Birding expedition operator connected through Hacienda/Sword-billed Instagram trail.,contact@swordbilledexpeditions.com; contacto@swordbilledexpeditions.com,https://swordbilledexpeditions.com/,Public website emails.,+593995449116; +593993628402,https://swordbilledexpeditions.com/,medium,Official website/search result exposes WhatsApp contact; source page uses dynamic content.
instagram_seed,ABT Birds,@abtbirds,https://abtbirds.com/,Birding tour operator,Hacienda El Bosque,https://abtbirds.com/,high,David Ascanio / ABT Birds lead from Hacienda research.,contact@abtbirds.com,https://abtbirds.com/,Public website contact email.,,,,No public WhatsApp number found during this pass.
instagram_seed,Manakin Nature Tours,@manakinnaturetours,https://www.manakinnaturetours.com/,Colombia nature/birding operator,Hacienda El Bosque story highlights,https://www.manakinnaturetours.com/contact/,high,Colombia nature tour operator found in Hacienda story/highlight trail.,info@manakinnaturetours.com,https://www.manakinnaturetours.com/contact/,Public website contact email.,+573218845359,https://bio.link/manakinnaturetours,high,Public Bio.link contact entry labels this number as WhatsApp.
instagram_seed,Aramacao Tours,@aramacaotours,https://www.aramacaotours.com/,Colombia tour operator,Hacienda El Bosque story highlights,https://www.aramacaotours.com/,high,Tour operator found in Hacienda story/highlight trail.,toursaramacao@gmail.com,https://www.aramacaotours.com/,Public website email.,+573053184585,https://www.aramacaotours.com/,high,Explicit WhatsApp API link on website.
instagram_seed,Retorno Photo Tours,@retorno.phototours,https://www.retornophototours.com/,Bird photography tour operator,Hacienda El Bosque story highlights,https://www.retornophototours.com/contact,high,Photo tour operator found in Hacienda story/highlight trail.,dcasas@retornobirding.com,https://www.retornophototours.com/contact,Public website contact email; ignored one typo variant also present in page source.,+573052986006,https://www.retornophototours.com/contact,high,Explicit wa.me link on website contact page.
instagram_seed,Nature Colombia,@naturecolombia_,https://www.naturecolombia.com/,Colombia birding/nature operator,Hacienda El Bosque story highlights,https://www.naturecolombia.com/en/contact,high,Colombia nature/birding operator found in Hacienda story/highlight trail.,info@naturecolombia.com,https://www.colombia.com/turismo/prestadores-de-servicios-turisticos/i43320/nature-colombia,Public travel registry and Colombia Travel listing email.,,,,No public WhatsApp number found during this pass.
instagram_seed,Birding by Bus,@birdingbybus,https://www.birdingbybus.com/,Birding travel operator,Hacienda El Bosque story highlights,https://www.birdingbybus.com/,medium,Birding travel/operator lead found in Hacienda story/highlight trail.,info@birdingbybus.com,https://www.birdingbybus.com/,Public website email.,,,,No public WhatsApp number found during this pass.
instagram_seed,PhotoNatura Colombia,@photonaturacolombia,https://www.photonaturacolombia.co/,Colombia photography/nature operator,Hacienda El Bosque story highlights,https://www.photonaturacolombia.co/,medium,Photography/nature lead found in Hacienda story/highlight trail; qualify group-tour volume.,fotonatural@live.com,https://www.photonaturacolombia.co/,Public website email.,,,,No public WhatsApp number found during this pass.
instagram_seed,Rada Birding / Ramon David Ruiz Correa,@rada.birding,https://birdscolombia.com/guides/,Independent birding guide lead,Hacienda El Bosque story highlights,https://birdscolombia.com/guides/,medium,Independent guide/network lead rather than a full operator; useful for referrals and local guide mapping.,rdruizc@unal.edu.co,https://birdscolombia.com/guides/,Public Birds Colombia guide directory email.,+573146022606,https://birdscolombia.com/guides/,high,Birds Colombia guide directory entry has a WhatsApp chat link for this guide.
instagram_seed,Overland Uncharted Wildlife,@overlandunchartedwildlife,https://www.overlanduncharted.com/phototours,Bird photography tour operator,Hacienda El Bosque story highlights; western Andes photo routes,https://www.overlanduncharted.com/phototours,high,Hosts Colombia bird photography tours; found in Hacienda story/highlight trail.,overlandunchartedwildlife@gmail.com,https://www.overlanduncharted.com/phototours,Public website email.,+16785754650,https://www.overlanduncharted.com/contact,high,Explicit wa.me link on contact page.
instagram_seed,Colombia Birdwatch,@colombiabirdwatch,https://colombiabirdwatch.com/,Colombia birding operator,Hacienda El Bosque story highlights; Araucana Lodge network,https://colombiabirdwatch.com/contact-us/,high,Established Colombia birding operator connected to Araucana Lodge/Chris Calonje network.,chriscalonje@colombiabirdwatch.com,https://colombiabirdwatch.com/contact-us/,Public contact page email.,,,,No public WhatsApp number found during this pass.
instagram_seed,Woodstars Birding & Nature Tours,@woodstars_tours,https://woodstarstours.com/,Colombia birding/nature operator,Hacienda El Bosque story highlights,https://woodstarstours.com/contact/,high,Birding/nature operator found in Hacienda story/highlight trail.,woodstars.birding@gmail.com,https://woodstarstours.com/contact/,Public website contact email.,,,,No public WhatsApp number found during this pass.
new_lead,Sula Colombia Wildlife & Nature Tours,,https://sula.com.co/,Colombia birding/nature operator,Reserva Rio Blanco; Tinamu; Hato La Aurora / Juan Solito,https://sula.com.co/,high,Colombian wildlife and birding operator surfaced repeatedly in Colombia birding itinerary searches.,frank@pelecanus.com.co; info@pelecanus.com.co,https://pelecanus.com.co/,"Sula site identifies Pelecanus S.A.S. as operator; direct Sula page exposes WhatsApp/contact form, while Pelecanus site lists public emails.",+573125049222,https://sula.com.co/,high,Explicit wa.me link on website.
new_lead,The Andean Birder,@theandeanbirder,https://theandeanbirder.com/,Colombia birding operator,Reserva Rio Blanco; Hacienda El Bosque; Dona Dora / Anchicaya; La Minga,https://theandeanbirder.com/tour/andes-colombia-photographic-birding-tour/,high,Dedicated Colombia birding operator with multi-site Colombian Andes photographic birding itinerary.,jarango@andeanbirder.com,https://theandeanbirder.com/contact/,Public website contact email.,+573164196760,https://theandeanbirder.com/,high,Explicit wa.me link on website.
new_lead,Sustainable Birding,,https://sustainablebirding.com/,Birding tour operator,Reserva Rio Blanco; Colombian Andes itineraries,https://sustainablebirding.com/,medium,Birding tour operator found through Colombia itinerary search; verify current Colombia departures before outreach.,info@sustainablebirdingcompany.com,https://sustainablebirding.com/contact/,Public website contact email.,,,,No public WhatsApp number found during this pass.
new_lead,Uncover Colombia,@uncovercolombia,https://www.uncovercolombia.com/,Colombia tour operator with birding product,Reserva Rio Blanco; Tinamu; Hato La Aurora / Juan Solito,https://www.uncovercolombia.com/,high,Colombia-based travel company with birding/nature tours; not birding-only but relevant inbound operator.,hello@uncovercolombia.com,https://www.uncovercolombia.com/contact/tailor-made-tour-enquire/,Public website inquiry email.,+573108650695,https://www.uncovercolombia.com/,high,Explicit wa.me link on website.
new_lead,Eagle-Eye Tours,@eagleeyetours,https://www.eagle-eye.com/,International birding operator,Reserva Rio Blanco; Montezuma; El Dorado / ProAves reserves,https://www.eagle-eye.com/,high,Established birding company with Colombia birding itineraries.,travel@eagle-eye.com,https://www.eagle-eye.com/contact,Public contact page email.,,,,No public WhatsApp number found during this pass.
new_lead,BnB Colombia Tours,@bnbcolombiatours,https://bnbcolombia.com/,Colombia tour operator with birding/wildlife product,Hato La Aurora / Juan Solito; La Isla Escondida; Colombia wildlife routes,https://bnbcolombia.com/,medium,General Colombia tour operator; actionable if they sell birding/wildlife trips rather than pure birding.,tours@bnbcolombia.com; info@bnbcolombia.com,https://bnbcolombia.com/contact/,Public website emails.,,,,No public WhatsApp number found during this pass.
new_lead,Jaguarundi Travel,@jaguarunditravel,https://jaguarunditravel.com/,Colombia wildlife/birding operator,Hato La Aurora / Juan Solito; La Isla Escondida; Colombian wildlife routes,https://jaguarunditravel.com/,high,Colombia nature/wildlife operator; strong fit for Llanos and lodge-based itineraries.,info@jaguarunditravel.com,https://jaguarunditravel.com/terms-conditions/,Public email listed on website legal/contact material.,+5715148822,https://jaguarunditravel.com/,high,Explicit WhatsApp link on website.
new_lead,Finisterra Travel,,https://www.finisterra.ca/,International birding/nature operator,Reserva Rio Blanco; Colombian Andes itineraries,https://www.finisterra.ca/,medium,International nature operator with Colombia birding itinerary signals; verify current Colombia programming.,info@finisterra.ca,https://finisterra.ca/travel-designers/contact-us/,Public website contact email.,,,,No public WhatsApp number found during this pass.
